name,value,pretty_value,boot_val,unit,context,vartype,min_val,max_val,enumvals
syslog_facility,local0,"",local0,"",sighup,enum,,,"{local0,local1,local2,local3,local4,local5,local6,local7}"
syslog_ident,postgres,"",postgres,"",sighup,string,,,""
syslog_sequence_numbers,on,"",on,"",sighup,bool,,,""
syslog_split_messages,on,"",on,"",sighup,bool,,,""
tcp_keepalives_count,0,"",0,"",user,integer,0,2147483647,""
tcp_keepalives_idle,0,"",0,s,user,integer,0,2147483647,""
tcp_keepalives_interval,0,"",0,s,user,integer,0,2147483647,""
tcp_user_timeout,0,"",0,ms,user,integer,0,2147483647,""
temp_buffers,1024,"",1024,8kB,user,integer,100,1073741823,""
temp_file_limit,-1,"",-1,kB,superuser,integer,-1,2147483647,""
temp_tablespaces,"","","","",user,string,,,""
TimeZone,Etc/UTC,"",GMT,"",user,string,,,""
timezone_abbreviations,Default,"",,"",user,string,,,""
trace_connection_negotiation,off,"",off,"",postmaster,bool,,,""
trace_notify,off,"",off,"",user,bool,,,""
trace_sort,off,"",off,"",user,bool,,,""
track_activities,on,"",on,"",superuser,bool,,,""
track_activity_query_size,1024,"",1024,B,postmaster,integer,100,1048576,""
track_commit_timestamp,off,"",off,"",postmaster,bool,,,""
track_cost_delay_timing,off,"",off,"",superuser,bool,,,""
track_counts,on,"",on,"",superuser,bool,,,""
track_functions,none,"",none,"",superuser,enum,,,"{none,pl,all}"
track_io_timing,off,"",off,"",superuser,bool,,,""
track_wal_io_timing,off,"",off,"",superuser,bool,,,""
transaction_buffers,32,"",0,8kB,postmaster,integer,0,131072,""
transaction_deferrable,off,"",off,"",user,bool,,,""
transaction_isolation,read committed,"",read committed,"",user,enum,,,"{serializable,""repeatable read"",""read committed"",""read uncommitted""}"
transaction_read_only,off,"",off,"",user,bool,,,""
transaction_timeout,0,"",0,ms,user,integer,0,2147483647,""
transform_null_equals,off,"",off,"",user,bool,,,""
unix_socket_directories,/var/run/postgresql,"",/var/run/postgresql,"",postmaster,string,,,""
unix_socket_group,"","","","",postmaster,string,,,""
unix_socket_permissions,0777,"",511,"",postmaster,integer,0,511,""
update_process_title,on,"",on,"",superuser,bool,,,""
vacuum_buffer_usage_limit,2048,"",2048,kB,user,integer,0,16777216,""
